"id","set_id","user_id","term","definition","example_sentence","mastery_level","last_reviewed_at","created_at","image_url","next_review_date","review_interval"
"2","3","203dafeb-518f-4f26-8bb2-3552f22d5647","what","(Singlish) Used to contradict an underlying assumption held by the interlocutor.","","1","2025-09-12T22:28:43.187+00:00","2025-09-12T22:28:19.378992+00:00","","2025-09-14T22:28:43.187+00:00","2"
"3","4","a401eb6c-89fe-4325-b0bc-f682c00f6f58","colonial","A person from a country that is or was controlled by another.","","0","2025-10-04T19:30:22.269+00:00","2025-09-13T16:33:56.143885+00:00","","2025-10-04T19:40:22.269+00:00","1"
"6","4","a401eb6c-89fe-4325-b0bc-f682c00f6f58","left","The left side or direction.","","0","2025-10-04T19:30:22.729+00:00","2025-09-30T01:33:16.867363+00:00","","2025-10-04T19:40:22.729+00:00","1"
"4","4","a401eb6c-89fe-4325-b0bc-f682c00f6f58","sidewalk","A footpath, usually paved, at the side of a road for the use of pedestrians; a pavement (UK) or footpath (Australia, New Zealand)","","1","2025-10-04T19:30:23.167+00:00","2025-09-25T02:33:44.922039+00:00","","2025-10-06T19:30:23.167+00:00","2"
"5","4","a401eb6c-89fe-4325-b0bc-f682c00f6f58","ettle","Intention; intent; aim.","","0","2025-10-04T19:30:23.61+00:00","2025-09-25T18:00:14.209268+00:00","","2025-10-04T19:40:23.61+00:00","1"
"7","5","c97a96e0-0bc7-413f-a265-77fa11b79792","conjectures","an opinion you make based off of incomplete information","","0","","2025-10-13T23:17:26.965307+00:00","","2025-10-13T23:17:26.965307+00:00","1"
"8","5","c97a96e0-0bc7-413f-a265-77fa11b79792","ostensible","superficial, something that seems to be true, but not always.","","0","","2025-10-13T23:20:27.791431+00:00","","2025-10-13T23:20:27.791431+00:00","1"
"9","5","c97a96e0-0bc7-413f-a265-77fa11b79792","destitute","necessity, basic needs.","destitute of-lacking something","0","","2025-10-13T23:21:44.766176+00:00","","2025-10-13T23:21:44.766176+00:00","1"
"10","5","c97a96e0-0bc7-413f-a265-77fa11b79792","hampered","impede something. (hinder, obstruct, prevent).","","0","","2025-10-13T23:23:23.724367+00:00","","2025-10-13T23:23:23.724367+00:00","1"
"11","5","c97a96e0-0bc7-413f-a265-77fa11b79792","ephemeral","lasting for a very short time","Love is ephemeral.","0","","2025-10-13T23:33:16.678428+00:00","","2025-10-13T23:33:16.678428+00:00","1"
"12","5","c97a96e0-0bc7-413f-a265-77fa11b79792","circumvent","going around obstacles.","She circumvented that root question very cleverly.","0","","2025-10-13T23:34:57.011087+00:00","","2025-10-13T23:34:57.011087+00:00","1"
"13","5","c97a96e0-0bc7-413f-a265-77fa11b79792","cleave","splitting something","Hitler cleaved into the Germans between the Jewish.","0","","2025-10-13T23:36:18.054343+00:00","","2025-10-13T23:36:18.054343+00:00","1"